"","year","month","all","ep","epu","ep_count","epu_count"
"295","2009",6,1205437,161.535930557852,193.719016262662,1566,100
"294","2009",7,1247976,254.968160242547,215.183208873894,2559,115
"290","2009",8,1217277,194.38881390258,141.957739821663,1903,74
"300","2009",9,1289764,145.093563476904,124.926799140435,1505,69
"299","2009",10,1373805,139.11394695976,122.383868351594,1537,72
"298","2009",11,1272205,149.148652261492,124.815519093619,1526,68
"291","2009",12,1268728,202.088701877542,294.488425959372,2062,160
"305","2010",1,1345898,190.224344696013,307.09863864699,2059,177
"304","2010",2,1288379,157.506475998287,237.43483202277,1632,131
"308","2010",3,1422339,120.292129548285,129.700229795587,1376,79
"301","2010",4,1416400,155.385055089586,118.703452598674,1770,72
"309","2010",5,1419562,169.666911088346,240.168067275439,1937,146
"307","2010",6,1334799,208.573975376501,339.392804028795,2239,194
"306","2010",7,1287660,173.044857753082,261.142802076266,1792,144
"302","2010",8,1245443,143.767438130233,275.619697260913,1440,147
"312","2010",9,1312863,150.591206659024,257.908327997354,1590,145
"311","2010",10,1411065,255.812589469122,385.5899215482,2903,233
"310","2010",11,1298239,139.644800622476,262.61224775843,1458,146
"303","2010",12,1298763,129.918751321179,195.980726344383,1357,109
"317","2011",1,1329426,121.965028348487,142.27795796333,1304,81
"316","2011",2,1291547,127.275009461759,173.571249837868,1322,96
"320","2011",3,1478211,135.513015188015,328.581931265399,1611,208
"313","2011",4,1399083,140.333238696535,140.20147384934,1579,84
"321","2011",5,1401145,97.7071027135162,108.329577148903,1101,65
"319","2011",6,1344487,138.263161496423,217.105176367096,1495,125
"318","2011",7,1273237,115.14006022439,176.067320549395,1179,96
"314","2011",8,1347715,119.202770515395,195.792996947777,1292,113
"324","2011",9,1379758,129.321543089832,372.337289274315,1435,220
"323","2011",10,1440899,116.326389835862,186.37217478644,1348,115
"322","2011",11,1375337,86.7928609241382,147.715782191386,960,87
"315","2011",12,1281177,133.449042630518,291.626927185379,1375,160
"329","2012",1,1296736,138.560096460593,237.705448252174,1445,132
"328","2012",2,1300187,126.333607001122,143.681528768778,1321,80
"332","2012",3,1365763,132.376520434343,143.621915835731,1454,84
"325","2012",4,1298720,116.136081894038,116.873109965427,1213,65
"333","2012",5,1386905,80.5999691724969,149.851144907464,899,89
"331","2012",6,1261621,116.890085830285,166.582882518564,1186,90
"330","2012",7,1231820,97.8134154331531,240.753850931467,969,127
"326","2012",8,1327752,120.058512637731,327.124259530622,1282,186
"336","2012",9,1269720,102.434351406546,161.842092295798,1046,88
"335","2012",10,1373435,147.208988473547,241.433208797935,1626,142
"334","2012",11,1296211,111.660399016708,192.763519745687,1164,107
"327","2012",12,1199060,75.1828853604556,93.4796536513392,725,48
"341","2013",1,1320665,94.0577786032168,123.77192464753,999,70
"340","2013",2,1226594,88.2956314670607,81.8623847963092,871,43
"344","2013",3,1321970,84.6530885001325,97.1533683772232,900,55
"337","2013",4,1284248,61.5786431742111,58.1859129530406,636,32
"345","2013",5,1329413,67.5303769726134,161.601236201305,722,92
"343","2013",6,1186073,81.6672507717308,110.253752586648,779,56
